ref,smiles1,A,smiles2,B,temperature,molar_ratio,viscosity
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.5541,0.76
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.5994,0.723
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.6511,0.68
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.7033,0.654
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.7506,0.629
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.8,0.608
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.8507,0.596
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.9001,0.579
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.9484,0.562
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,1.0,0.534
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.0,1.363
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.0521,1.302
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.0996,1.243
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.1504,1.163
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.201,1.077
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.2498,1.013
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.3057,0.919
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.3499,0.872
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.4031,0.811
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.451,0.752
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.5056,0.703
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.5541,0.662
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.5994,0.635
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.6511,0.605
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.7033,0.592
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.7506,0.57
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.8,0.558
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.8507,0.547
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.9001,0.531
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,0.9484,0.517
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,313.15,1.0,0.491
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.0,0.537
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.05,0.523
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.1,0.511
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.15,0.498
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.2,0.486
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.25,0.474
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.3,0.463
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.35,0.452
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.4,0.442
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.45,0.432
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.5,0.423
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.55,0.414
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.6,0.405
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.65,0.397
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.7,0.389
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.75,0.382
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.8,0.375
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.85,0.368
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.9,0.361
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,0.9499,0.354
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",288.15,1.0,0.348
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.0,0.48
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.05,0.468
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.1,0.456
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.15,0.445
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.2,0.435
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.25,0.425
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.3,0.415
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.35,0.406
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.4,0.397
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.45,0.388
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.5,0.38
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.55,0.372
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.6,0.364
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.65,0.357
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.7,0.35
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.7499,0.343
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.8,0.337
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.85,0.33
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.9,0.325
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,0.95,0.319
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",298.15,1.0,0.313
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.0,0.432
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.05,0.422
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.1,0.412
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.15,0.402
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.2,0.393
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.25,0.384
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.3,0.375
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.35,0.367
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.4,0.359
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.45,0.351
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.5,0.343
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.55,0.336
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.6,0.329
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.65,0.323
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.7,0.316
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.75,0.31
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.8,0.305
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.85,0.299
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.9,0.294
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,0.9499,0.288
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",308.15,1.0,0.283
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.0,1.309
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.05,1.176
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.1,1.046
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.15,0.946
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.2,0.85
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.25,0.771
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.3,0.705
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.35,0.648
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.4,0.599
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.45,0.558
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.5,0.523
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.55,0.493
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.6,0.468
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.65,0.444
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.7,0.423
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.7499,0.407
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.8,0.392
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.85,0.378
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.9,0.367
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,0.95,0.357
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,288.15,1.0,0.348
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.0,1.084
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.05,0.975
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.1,0.875
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.15,0.793
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.2,0.719
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.25,0.656
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.3,0.603
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.35,0.558
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.4,0.519
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.45,0.486
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.5,0.458
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.55,0.432
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.6,0.412
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.65,0.392
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.7,0.376
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.7499,0.362
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.8,0.35
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.85,0.339
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.9,0.329
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,0.95,0.32
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,298.15,1.0,0.313
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.0,0.905
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.05,0.814
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.1,0.736
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.15,0.67
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.2,0.612
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.25,0.562
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.3,0.52
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.35,0.484
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.4,0.453
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.45,0.426
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.5,0.403
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.55,0.383
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.6,0.365
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.65,0.35
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.7,0.336
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.7499,0.324
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.8,0.314
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.85,0.305
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.9,0.297
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,0.95,0.289
jced-51-1-2,CC(C)OC(C)C,Diisopropyl Ether,CCO,Ethanol,308.15,1.0,0.283
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.0,11.193
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.1001,12.152
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.1999,12.427
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.2997,12.434
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.4001,12.092
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.4998,11.54
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.6002,10.827
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.7,10.015
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.8,9.31
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,0.8994,8.726
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,308.15,1.0,8.444
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,313.15,0.0,9.444
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,313.15,0.1001,9.956
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,313.15,0.1999,10.185
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,313.15,0.2997,10.134
jced-51-2-1,CC1=CC=C(C=C1)O,p-Cresol,C(CO)O,Ethylene Glycol,313.15,0.4001,9.821
